"Environment and Climate Change Canada"
"Monthly Values for January - 1938"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"EAR FALLS","50.633","-93.217","ON","-19.1","0",NA,"-1.1","0","-37.2","0","17.4","0",NA,"17.4","0",NA,"","6","","",NA,"1148.7","0.0","6012198"
"RAT RAPIDS","51.200","-90.233","ON","-20.6","0",NA,"-2.2","0","-37.2","0","12.9","0",NA,"12.9","0",NA,"","9","","",NA,"1196.7","0.0","6016890"
"ATIKOKAN CLI","48.733","-91.633","ON","-19.8","0",NA,"1.7","0","-46.7","0","13.4","0",NA,"13.4","0",NA,"","5","","",NA,"1172.8","0.0","6020381"
"EMO","48.633","-93.800","ON","-18.0","0",NA,"2.2","0","-40.0","0","42.4","0",NA,"42.4","0",NA,"","7","","",NA,"1115.7","0.0","6022300"
"FORT FRANCES","48.617","-93.417","ON","-15.9","0",NA,"3.3","0","-34.4","0","19.9","0",NA,"19.9","0",NA,"","5","","",NA,"1050.9","0.0","6022475"
"KAWENE","48.733","-91.200","ON","",,NA,"",,"",,"38.1","0",NA,"38.1","0",NA,"","5","","",NA,"","","6024010"
"MINE CENTRE","48.767","-92.617","ON","-18.2","0","-2.8","2.2","0","-40.6","0","43.2","0","141.0","43.2","0","139.0","","10","","",NA,"1121.7","0.0","6025203"
"DRYDEN","49.783","-92.833","ON","-18.3","0","-0.9","1.1","0","-37.8","0","22.9","0","84.0","22.9","0","84.0","","7","","",NA,"1125.0","0.0","6032117"
"IGNACE","49.417","-91.650","ON","-19.6","0",NA,"1.1","0","-41.1","0","15.2","0",NA,"15.2","0",NA,"","4","","",NA,"1165.2","0.0","6033690"
"INGOLF","49.817","-95.150","ON","-19.8","0",NA,"-0.6","0","-45.0","0","22.8","0",NA,"22.8","0",NA,"","5","","",NA,"1172.9","0.0","6033785"
