"Station Name","TORONTO"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158350"
"WMO Identifier","71266"
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1840-01","1840","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1840-02","1840","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1840-03","1840","03","5.2","","-2.9","","1.2","","","M","","M","41.1","","","M","","M","","",,"",,""
"1840-04","1840","04","11.1","","2.3","","6.7","","","M","","M","87.9","","","M","","M","","",,"",,""
"1840-05","1840","05","17.2","","7.6","","12.4","","24.4","S","-0.6","","105.7","","0.0","","105.7","","","",,"",,""
"1840-06","1840","06","20.7","","10.8","","15.8","","26.7","","2.8","","123.4","","0.0","","123.4","","","",,"",,""
"1840-07","1840","07","24.4","","14.5","","19.5","","27.8","S","8.3","","134.4","","0.0","","134.4","","","",,"",,""
"1840-08","1840","08","23.8","","14.1","","19.0","","27.8","S","8.9","S","73.9","","0.0","","73.9","","","",,"",,""
"1840-09","1840","09","17.9","","7.2","","12.6","","","M","","M","","M","","M","","M","","",,"",,""
"1840-10","1840","10","12.6","","2.2","","7.4","","22.8","S","-5.0","","48.0","","0.0","T","48.0","","","",,"",,""
"1840-11","1840","11","5.6","","-1.5","","2.1","","13.9","","-9.4","","31.0","","","M","","M","","",,"",,""
"1840-12","1840","12","-1.0","","-8.8","","-4.9","","5.6","","-22.8","","0.0","","","M","","M","","",,"",,""
"1841-01","1841","01","-0.6","","-8.3","","-4.5","","5.6","","-21.1","","54.6","","","M","","M","","",,"",,""
"1841-02","1841","02","-1.2","","-9.7","","-5.5","","6.7","","-18.3","","0.0","","","M","","M","","",,"",,""
"1841-03","1841","03","2.2","","-6.7","","-2.3","","12.8","","-16.7","","29.5","","","M","","M","","",,"",,""
"1841-04","1841","04","8.8","","-0.2","","4.3","","18.3","","-6.7","","34.5","","","M","","M","","",,"",,""
"1841-05","1841","05","16.6","","5.3","","11.0","","25.6","S","-2.8","S","59.4","","0.0","","59.4","","","",,"",,""
"1841-06","1841","06","25.3","","13.4","","19.4","","33.9","","7.2","","39.1","","0.0","","39.1","","","",,"",,""
"1841-07","1841","07","25.8","","12.6","","19.2","","31.7","S","4.4","","206.8","","0.0","","206.8","","","",,"",,""
"1841-08","1841","08","24.2","","13.1","","18.7","","29.4","","7.8","S","156.7","","0.0","","156.7","","","",,"",,""
"1841-09","1841","09","20.5","","11.7","","16.1","","26.7","","1.1","","84.6","","0.0","","84.6","","","",,"",,""
"1841-10","1841","10","10.1","","1.3","","5.7","","15.6","S","-6.1","","34.3","","","M","","M","","",,"",,""
"1841-11","1841","11","4.7","","-2.2","","1.3","","17.8","","-12.8","S","62.2","","","M","","M","","",,"",,""
"1841-12","1841","12","1.1","","-5.1","","-2.0","","7.8","","-16.1","S","167.4","","","M","","M","","",,"",,""
"1842-01","1842","01","1.9","","-7.6","","-2.9","","9.4","","-16.7","","55.1","","","M","","M","","",,"",,""
"1842-02","1842","02","1.8","","-6.1","","-2.2","","10.0","","-16.1","","91.9","","","M","","M","","",,"",,""
"1842-03","1842","03","7.1","","-1.7","","2.7","","21.1","","-9.4","","80.0","","","M","","M","","",,"",,""
"1842-04","1842","04","11.7","","2.2","","7.0","","32.2","","-2.2","S","101.3","","0.0","","101.3","","","",,"",,""
"1842-05","1842","05","16.1","","4.3","","10.2","","23.9","","-2.8","","26.2","","0.0","","26.2","","","",,"",,""
"1842-06","1842","06","20.4","","8.6","","14.5","","26.7","","-2.2","","145.8","","0.0","","145.8","","","",,"",,""
"1842-07","1842","07","25.4","","11.8","","18.6","","32.8","","6.1","","77.5","","0.0","","77.5","","","",,"",,""
"1842-08","1842","08","25.0","","14.0","","19.5","","27.8","S","6.7","","63.5","","0.0","","63.5","","","",,"",,""
"1842-09","1842","09","18.8","","8.7","","13.8","","28.9","","-2.2","","159.0","","0.0","","159.0","","","",,"",,""
"1842-10","1842","10","12.6","","2.9","","7.8","","20.6","","-2.2","","131.3","","0.0","","131.3","","","",,"",,""
"1842-11","1842","11","4.7","","-2.7","","1.0","","13.9","","-13.3","","134.9","","","M","","M","","",,"",,""
"1842-12","1842","12","0.0","","-7.6","","-3.8","","5.0","","-16.1","","22.4","","","M","","M","","",,"",,""
"1843-01","1843","01","1.4","","-5.7","","-2.2","","12.8","","-16.7","S","109.2","","36.1","","145.3","","","",,"",,""
"1843-02","1843","02","-4.4","","-12.7","","-8.6","","3.9","","-22.8","","12.2","","36.6","","48.8","","","",,"",,""
"1843-03","1843","03","-0.9","","-10.6","","-5.8","","4.4","","-19.4","","16.0","","65.3","","81.3","","","",,"",,""
"1843-04","1843","04","9.6","","0.6","","5.1","","22.2","","-9.4","S","81.0","","0.3","","81.3","","","",,"",,""
"1843-05","1843","05","16.4","","5.1","","10.8","","26.7","","-1.7","","39.9","","0.0","","39.9","","","",,"",,""
"1843-06","1843","06","20.3","","9.2","","14.8","","28.3","","-2.2","","117.1","","0.0","","117.1","","","",,"",,""
"1843-07","1843","07","25.5","","12.5","","19.0","","30.6","","3.9","","117.1","","0.0","","117.1","","","",,"",,""
"1843-08","1843","08","25.4","","13.3","","19.4","","28.3","S","6.7","","123.4","","0.0","","123.4","","","",,"",,""
"1843-09","1843","09","21.3","","11.4","","16.4","","31.7","","0.0","","248.2","","0.0","","248.2","","","",,"",,""
"1843-10","1843","10","10.3","","2.4","","6.4","","20.0","","-4.4","","97.0","","6.4","","103.4","","","",,"",,""
"1843-11","1843","11","3.8","","-2.5","","0.7","","11.7","","-10.0","","116.8","","3.0","","119.9","","","",,"",,""
"1843-12","1843","12","2.0","","-3.4","","-0.7","","9.4","","-16.1","","26.4","","20.6","","47.0","","","",,"",,""
"1844-01","1844","01","-2.6","","-10.3","","-6.5","","7.2","","-21.7","","76.5","","63.2","","139.7","","","",,"",,""
"1844-02","1844","02","0.7","","-7.9","","-3.6","","8.9","","-17.2","","11.2","","25.4","","36.6","","","",,"",,""
"1844-03","1844","03","4.2","","-3.8","","0.2","","10.6","S","-12.2","","63.2","","35.6","","98.8","","","",,"",,""
"1844-04","1844","04","15.0","","3.5","","9.3","","23.9","","-9.4","","38.9","","0.0","","38.9","","","",,"",,""
"1844-05","1844","05","19.0","","7.3","","13.2","","25.6","","-1.7","","144.8","","0.0","","144.8","","","",,"",,""
"1844-06","1844","06","21.8","","10.3","","16.1","","28.3","","0.6","","89.9","","0.0","","89.9","","","",,"",,""
"1844-07","1844","07","25.8","","13.1","","19.5","","30.6","","4.4","","71.9","","0.0","","71.9","","","",,"",,""
"1844-08","1844","08","23.8","","12.9","","18.4","","30.6","","6.7","","","M","0.0","","","M","","",,"",,""
"1844-09","1844","09","21.1","","9.6","","15.4","","27.8","","-2.2","","5.8","","0.0","","5.8","","","",,"",,""
"1844-10","1844","10","11.2","","1.9","","6.6","","22.2","","-8.9","","","M","30.5","","","M","","",,"",,""
"1844-11","1844","11","5.7","","-2.0","","1.9","","13.3","","-11.1","","","M","20.3","","","M","","",,"",,""
"1844-12","1844","12","1.8","","-6.0","","-2.1","","10.6","","-16.7","S","","M","10.7","","","M","","",,"",,""
"1845-01","1845","01","0.7","","-7.1","","-3.2","","7.8","","-17.8","","","M","57.7","","","M","","",,"",,""
"1845-02","1845","02","0.4","","-7.4","","-3.5","","9.4","","-20.0","","","M","48.3","","","M","","",,"",,""
"1845-03","1845","03","6.1","","-2.9","","1.6","","17.2","","-13.9","","","M","7.1","","","M","","",,"",,""
"1845-04","1845","04","10.7","","0.8","","5.8","","19.4","S","-8.9","","84.1","","3.8","","87.9","","","",,"",,""
"1845-05","1845","05","16.4","","4.1","","10.3","","25.6","","-2.2","","50.8","","0.0","","50.8","","","",,"",,""
"1845-06","1845","06","21.8","","10.0","","15.9","","29.4","","3.9","","110.7","","0.0","","110.7","","","",,"",,""
"1845-07","1845","07","25.4","","13.0","","19.2","","35.0","","7.8","S","52.8","","0.0","","52.8","","","",,"",,""
"1845-08","1845","08","25.3","","13.4","","19.4","","29.4","","5.6","","43.9","","0.0","","43.9","","","",,"",,""
"1845-09","1845","09","18.4","","7.1","","12.8","","26.7","","1.1","","156.7","","0.0","","156.7","","","",,"",,""
"1845-10","1845","10","12.6","","2.4","","7.5","","17.8","S","-6.7","","45.0","","0.0","","45.0","","","",,"",,""
"1845-11","1845","11","6.1","","-0.9","","2.6","","15.6","","-13.3","","28.4","","12.7","","41.1","","","",,"",,""
"1845-12","1845","12","-2.4","","-10.1","","-6.3","","4.4","","-18.9","","0.0","","11.9","","11.9","","","",,"",,""
"1846-01","1846","01","0.1","","-7.6","","-3.8","","6.7","","-18.3","S","59.7","","15.2","","74.9","","","",,"",,""
